"Reference","Value","Datasheet","Footprint","Qty","DNP","Digikey Num"
"C1,C2,C3,C15,C16","10uF","","Capacitor_SMD:C_0402_1005Metric","5","",""
"C4,C5,C6,C7,C11,C13,C17,C18,C21,C22,C23,C24","100nF","","Capacitor_SMD:C_0402_1005Metric","12","",""
"C8","4.7uF","","Capacitor_SMD:C_0402_1005Metric","1","",""
"C9,C10","20pF","","Capacitor_SMD:C_0402_1005Metric","2","",""
"C12","10nF","","Capacitor_SMD:C_0402_1005Metric","1","",""
"C14,C19,C20","1uF","","Capacitor_SMD:C_0402_1005Metric","3","",""
"D1","LED_Blue","","LED_SMD:LED_0402_1005Metric","1","",""
"F1","Polyfuse_Small","","Fuse:Fuse_0603_1608Metric","1","",""
"FB1","220R @ 100MHz","","Inductor_SMD:L_0603_1608Metric","1","",""
"J1","USB_C_Receptacle_USB2.0_16P","https://www.usb.org/sites/default/files/documents/usb_type-c.zip","Connector_USB:USB_C_Receptacle_HRO_TYPE-C-31-M-12","1","",""
"J2","Conn_01x02_Pin","","Connector_JST:JST_GH_BM02B-GHS-TBT_1x02-1MP_P1.25mm_Vertical","1","",""
"R1,R2","5.1kR","","Resistor_SMD:R_0402_1005Metric","2","",""
"R3,R4","22R","","Resistor_SMD:R_0402_1005Metric","2","",""
"R5","47kR","","Resistor_SMD:R_0402_1005Metric","1","",""
"R6,R7,R8","100R","","Resistor_SMD:R_0402_1005Metric","3","",""
"TP1","+3V3 TP","","TestPoint:TestPoint_THTPad_D1.0mm_Drill0.5mm","1","",""
"TP2","VBATT TP","","TestPoint:TestPoint_THTPad_D1.0mm_Drill0.5mm","1","",""
"TP3","VBUS","","TestPoint:TestPoint_THTPad_D1.0mm_Drill0.5mm","1","",""
"TP4","VOUT","","TestPoint:TestPoint_THTPad_D1.0mm_Drill0.5mm","1","",""
"TP5","ADC1","","TestPoint:TestPoint_THTPad_D1.0mm_Drill0.5mm","1","",""
"TP6","PA3","","TestPoint:TestPoint_THTPad_D1.0mm_Drill0.5mm","1","",""
"TP7","PA4","","TestPoint:TestPoint_THTPad_D1.0mm_Drill0.5mm","1","",""
"TP8","PA5","","TestPoint:TestPoint_THTPad_D1.0mm_Drill0.5mm","1","",""
"TP9","PA6","","TestPoint:TestPoint_THTPad_D1.0mm_Drill0.5mm","1","",""
"TP10","PA7","","TestPoint:TestPoint_THTPad_D1.0mm_Drill0.5mm","1","",""
"U1","STM32U535CBTx","https://www.st.com/resource/en/datasheet/stm32u535cb.pdf","Package_QFP:LQFP-48_7x7mm_P0.5mm","1","","497-STM32U535CBT6CT-ND"
"U2","USBLC6-2SC6","https://www.st.com/resource/en/datasheet/usblc6-2.pdf","Package_TO_SOT_SMD:SOT-23-6","1","","497-5235-1-ND"
"U3","TPS7A0533PDBZ","https://www.ti.com/lit/ds/symlink/tps7a05.pdf","Package_TO_SOT_SMD:SOT-23-3","1","","296-TPS7A0533PDBZRCT-ND"
"U4,U10","LM66100DCK","https://www.ti.com/lit/ds/symlink/lm66100.pdf","Package_TO_SOT_SMD:SOT-363_SC-70-6","2","","296-53541-1-ND"
"U5","W25Q128JVP","https://www.winbond.com/resource-files/w25q128jv_dtr%20revc%2003272018%20plus.pdf","Package_SON:WSON-8-1EP_6x5mm_P1.27mm_EP3.4x4.3mm","1","","256-W25Q256JVEIQTRCT-ND"
"U6","BMP581","","BMP581:QFN10_BMP581_BOS","1","","828-BMP581CT-ND"
"U7","MMC5983MA","MMC5983MA","Package_LGA:LGA-16_3x3mm_P0.5mm","1","","1267-MMC5983MACT-ND"
"U8","ADXL375","","Package_LGA:LGA-14_3x5mm_P0.8mm_LayoutBorder1x6y","1","","ADXL375BCCZ-RL7CT-ND"
"U9","LSM6DSV16X","","LSM6DSV16X:LGA-14L_STM-L","1","","497-LSM6DSV16XTRCT-ND"
"Y1","32.768KHz","ABS07-32.768KHZ-T","Crystal:Crystal_SMD_3215-2Pin_3.2x1.5mm","1","","535-9542-1-ND"
