Designator,Mid X,Mid Y,Rotation,Layer
C1,59.7,-130.191877,0.0,top
C10,80.542641,-108.136039,135.0,top
C11,79.906245,-109.479542,45.0,top
C12,79.184996,-108.786577,45.0,top
C13,78.492031,-108.065328,45.0,top
C14,75.522183,-108.631014,135.0,top
C15,66.3,-118.199999,90.0,top
C16,77.55,-123.875,0.0,top
C17,83.65,-130.887703,270.0,top
C18,82.75,-129.087703,0.0,top
C19,75.65,-123.875,0.0,top
C2,57.7,-126.391877,0.0,top
C20,75.5,-133.1775,0.0,top
C21,78.6,-133.1775,180.0,top
C22,79.4304,-123.8764,0.0,top
C23,81.3304,-123.8764,180.0,top
C24,65.4,-119.799999,0.0,top
C3,69.299643,-112.873654,135.0,top
C4,82.59325,-116.974874,315.0,top
C5,75.592893,-120.439697,225.0,top
C6,82.451829,-114.005025,45.0,top
C7,70.00675,-112.166548,135.0,top
C8,70.713856,-111.459441,135.0,top
C9,83.795332,-112.661522,225.0,top
D1,60.3,-126.891877,90.0,top
F1,63.32,-124.361877,90.0,top
FB1,77.289949,-107.570354,45.0,top
J1,66.14,-131.211877,0.0,top
J2,66.125,-131.341877,180.0,bottom
R1,69.04,-124.951877,90.0,top
R2,64.64,-124.951877,90.0,top
R3,72.3,-119.2,45.0,top
R4,73.034925,-119.916537,45.0,top
R5,81.2,-118.3,315.0,top
R6,61.6,-125.391877,180.0,top
R7,61.290001,-124.1,0.0,bottom
R8,61.290001,-123.1,0.0,bottom
TP1,57.7,-123.9,90.0,top
TP10,64.85,-108.3,180.0,top
TP2,57.7,-121.8,90.0,top
TP3,57.7,-119.7,90.0,top
TP4,57.7,-117.6,90.0,top
TP5,61.8,-108.2,0.0,top
TP6,73.35,-108.3,180.0,top
TP7,71.225,-108.3,180.0,top
TP8,69.1,-108.3,180.0,top
TP9,66.975,-108.3,180.0,top
U1,76.3,-114.5,135.0,top
U10,65.9,-126.516877,270.0,bottom
U2,66.84,-123.714377,270.0,top
U3,58.2,-128.791877,90.0,top
U4,68.3,-126.516877,270.0,bottom
U5,63.025,-115.95,270.0,top
U6,81.85,-130.887703,270.0,top
U7,76.45,-126.175,90.0,top
U8,77.0,-130.9,90.0,top
U9,80.3,-126.0,180.0,top
Y1,81.886144,-111.035177,315.0,top
