Designator,Mid X,Mid Y,Rotation,Layer
C1,59.83934,-73.113336,270.0,top
C10,82.13934,-59.413336,180.0,top
C11,79.71934,-60.513336,0.0,top
C12,74.93934,-73.493336,270.0,top
C13,75.93934,-73.513336,270.0,top
C14,79.19,-73.79,90.0,top
C15,64.93934,-75.113336,90.0,top
C16,86.4,-61.7,0.0,top
C17,84.9,-77.8,180.0,top
C18,86.7,-76.9,270.0,top
C19,84.5,-61.7,0.0,top
C2,61.83934,-68.293336,270.0,top
C20,78.46184,-76.113336,270.0,top
C21,78.46184,-79.213336,90.0,top
C22,84.0,-67.5,0.0,top
C23,85.9,-67.5,180.0,top
C3,67.993002,-68.826338,180.0,top
C4,82.513002,-69.026338,270.0,top
C5,68.013002,-67.826338,180.0,top
C6,69.013002,-62.926338,90.0,top
C7,78.63934,-59.513336,0.0,top
C8,69.93934,-61.933336,90.0,top
C9,83.0,-64.88,270.0,top
D1,59.13934,-75.613336,90.0,top
F1,68.53934,-72.513336,180.0,top
FB1,77.8,-73.5,90.0,top
J1,71.03934,-81.373336,0.0,top
J2,61.96434,-80.113336,180.0,top
R1,73.93934,-75.113336,90.0,top
R2,69.53934,-75.113336,90.0,top
R3,70.63934,-70.6,0.0,top
R4,73.93934,-72.713336,90.0,top
R5,81.4,-70.3,270.0,top
R6,60.13934,-75.613336,270.0,top
R7,64.93934,-73.213336,270.0,top
R8,62.53934,-76.313336,180.0,top
R9,61.13934,-74.813336,90.0,top
U1,75.613002,-65.926338,135.0,top
U2,71.73934,-73.875836,270.0,top
U3,60.93934,-71.213336,90.0,top
U4,67.33934,-74.713336,270.0,top
U5,63.03934,-74.013336,0.0,top
U6,84.9,-76.0,180.0,top
U7,85.3,-64.0,90.0,top
U8,80.73934,-77.613336,0.0,top
U9,84.8696,-69.6236,180.0,top
Y1,82.23934,-61.913336,270.0,top
